word,rebec,strgth,close,betw,eigen,degree,freq
ball,1,62.70424460505819,1665.4392694317758,4942.0,0.571568322518375,1079,10
dog,2,95.11161590295524,1519.493028943963,877.0,0.8713433594222991,875,66
spoon,3,93.67159973592788,1419.5545912718417,225.0,0.8468021991577225,883,7
foot,4,83.59786601441738,1426.8931505015598,3.0,0.7801353209026543,952,29
duck,5,96.38215611873602,1561.3172166611084,174.0,0.9033274108058256,877,17
shoe,7,54.952141720541476,1504.2210100625393,2826.0,0.4923478815009351,1135,10
cup,8,92.28649339814729,1554.3998427592744,1729.0,0.843983955021099,884,18
eat,9,76.25199008579875,1609.8850494063108,1653.0,0.6990094936525933,986,135
bus,10,58.382895414158156,1766.2287257468683,6891.0,0.5264266796526351,1130,43
flower,11,97.03392914499273,1461.5929190488607,386.0,0.9059500393421271,868,27
mouth,12,89.10486473274068,1206.0243021552083,35.0,0.8298661847078183,912,13
cookie,14,62.2825979616664,1591.068608843151,2123.0,0.5649783845723033,1091,8
red,17,89.55903830633906,1645.6226269268934,802.0,0.8414158381689723,900,48
jump,18,90.05425698371982,1499.40520272503,435.0,0.8356894787197824,892,33
carrot,19,93.69746317904537,1817.7190846637252,4433.0,0.8745308522569767,881,7
read,20,91.68429040585397,1593.961923208372,1056.0,0.8530468287589986,898,28
toe,21,93.4976751699578,1162.3474774986164,32.0,0.8614090684715985,883,6
fly,23,88.16077999741537,1304.1066015033502,0.0,0.8160336629877877,885,81
paint,24,98.8490226441063,1496.074896191198,774.0,0.9277608391795145,854,7
dance,25,89.94612055785547,1395.426077049816,302.0,0.8393655600440094,900,19
square,29,95.1008666830021,1223.1462131015592,5.0,0.8941411231596481,866,8
fence,30,88.31408801734733,1519.5336056093256,2601.0,0.8123477049896328,920,15
empty,31,93.2291519184655,1354.4784246676254,72.0,0.8589592028407556,899,12
happy,32,93.3654737554898,1546.3885220242678,581.0,0.8738532202132144,867,27
fire,33,93.53341281485336,1288.9216933578966,97.0,0.8504371497350135,896,12
castle,34,56.78432794578839,1282.3523267490746,51.0,0.5159189186993496,1110,6
throw,36,91.67939593865594,1354.4179276521913,0.0,0.8659088311206007,869,11
farm,37,95.609411681442,1821.8005567898517,8099.0,0.8923216615240342,868,8
gift,39,91.86682762936834,1932.844750562076,690.0,0.8649163140821648,900,9
dress,47,94.25265046079585,1252.4396912179573,146.0,0.8757772594066762,878,14
peek,49,94.03292164328741,1705.7340997755448,0.0,0.8715684888453976,869,5
branch,52,91.17644202194788,1641.7676080048398,38.0,0.8495684670407417,889,14
pick,61,89.48981647622713,1749.7649908530511,1104.0,0.8398148852737937,887,50
sort,82,93.12485289820324,1534.2349619733395,882.0,0.8738738853900978,868,9
river,87,88.30642496659675,1573.9463098216859,234.0,0.8288346116868186,905,6
catch,89,97.16791458900934,1684.7546100197562,1868.0,0.9110883474073644,852,29
trunk,90,96.1712851247321,1845.0954468781338,7989.0,0.8950070796322274,875,11
safe,103,91.92474638848216,1408.018572993784,354.0,0.8555402360415485,877,11
valley,119,94.84678542258916,1389.850519427163,724.0,0.8777986437328982,869,5
